variable,category,description,transformation_formula,unit_scale,source,temporal_level,notes
prev_revenue,financial_ratio,Previous quarter revenue,LAG_1(total_revenue),ratio or %,derived from fundamentals,"quarterly aligned to release date, then daily ffill",Derived from aligned quarterly fundamentals and forward-filled.
revenue_growth,financial_ratio,Quarter-over-quarter revenue growth,100 * (total_revenue - prev_revenue) / prev_revenue,ratio or %,derived from fundamentals,"quarterly aligned to release date, then daily ffill",Derived from aligned quarterly fundamentals and forward-filled.
market_cap,size_value,Market capitalization,Close_(t-1) * shares_outstanding_(t-1),currency,price + fundamentals,daily,Explicitly lagged to avoid look-ahead.
log_mktcap,size_value,Natural logarithm of market capitalization,"ln(market_cap), if market_cap > 0",log(currency),derived from market_cap,daily,
book_to_market,size_value,Book-to-market ratio,total_equity_(t-1) / market_cap_t,ratio,fundamentals + market_cap,daily,Numerator is lagged for temporal consistency.
GDP_GDP_SA_PC_QOQ,macro_gdp,SA PC QOQ,raw value,% / index,Macroeconomic_Data/GDP_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
GDP_GDP_SA_PC_YOY,macro_gdp,SA PC YOY,raw value,% / index,Macroeconomic_Data/GDP_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
GDP_GDP_NSA_PC_QOQ,macro_gdp,NSA PC QOQ,raw value,% / index,Macroeconomic_Data/GDP_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
GDP_GDP_NSA_PC_YOY,macro_gdp,NSA PC YOY,raw value,% / index,Macroeconomic_Data/GDP_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
IPI_IPI,macro_ipi,IPI,raw value,% / index,Macroeconomic_Data/IPI_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
IPI_IPI_YOY,macro_ipi,YOY,raw value,% / index,Macroeconomic_Data/IPI_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
IPI_IPI_QOQ,macro_ipi,QOQ,raw value,% / index,Macroeconomic_Data/IPI_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
IPI_IPI_SA,macro_ipi,SA,raw value,% / index,Macroeconomic_Data/IPI_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
IPI_IPI_SA_YOY,macro_ipi,SA YOY,raw value,% / index,Macroeconomic_Data/IPI_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
IPI_IPI_SA_QOQ,macro_ipi,SA QOQ,raw value,% / index,Macroeconomic_Data/IPI_quarterly.csv,"quarterly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
IPI_Unnamed: 7,macro_ipi,Auxiliary column inherited from the raw IPI file,raw value,% / index,Macroeconomic_Data/IPI_quarterly.csv,"quarterly aligned to release date, then daily ffill",Usually empty/NaN; can be removed without losing information.
UNEMP_UNRATE,macro_unemployment,UNRATE,raw value,% / p.p.,Macroeconomic_Data/Unemployment_Rate_monthly.csv,"monthly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
UNEMP_UNRATE_PC1,macro_unemployment,UNRATE PC1,raw value,% / p.p.,Macroeconomic_Data/Unemployment_Rate_monthly.csv,"monthly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
UNEMP_UNRATE_PCH,macro_unemployment,UNRATE PCH,raw value,% / p.p.,Macroeconomic_Data/Unemployment_Rate_monthly.csv,"monthly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
UNEMP_UNRATENSA,macro_unemployment,UNRATENSA,raw value,% / p.p.,Macroeconomic_Data/Unemployment_Rate_monthly.csv,"monthly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
UNEMP_UNRATENSA_PC1,macro_unemployment,UNRATENSA PC1,raw value,% / p.p.,Macroeconomic_Data/Unemployment_Rate_monthly.csv,"monthly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
UNEMP_UNRATENSA_PCH,macro_unemployment,UNRATENSA PCH,raw value,% / p.p.,Macroeconomic_Data/Unemployment_Rate_monthly.csv,"monthly aligned to release date, then daily ffill",Release-date aligned and forward-filled.
